FECHA;SUBSISTEMA;ENTIDAD;TIPO DE CREDITO;TIPO DE OPERACION;ESTADO DE LA OPERACION;PROVINCIA;CANTON;SECTOR;SUBSECTOR;ACTIVIDAD;NÚMERO DE OPERACIONES;MONTO OTORGADO
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;PICHINCHA;QUITO;CONSTRUCCIÓN;CONSTRUCCIÓN DE EDIFICIOS;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES EDIFICIOS MULTIFAMILIARES INCLUSO EDIFICIOS DE ALTURAS ELEVADAS VIVIENDAS PARA ANCIANATOS CASAS PARA BENEFICENCIA ORFANATOS CÁRCELES CUARTELES CONVENTOS CASAS RELIGIOSAS INCLUYE REMODELACIÓN RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;1;204951.99
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REESTRUCTURADA;MANABI;MONTECRISTI;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;ELABORACIÓN DE PRODUCTOS DE PESCADO: COCINADO FILETES DE PESCADO HUEVOS DE PESCADO CAVIAR Y SUSTITUTOS DEL CAVIAR ETCÉTERA ELABORACIÓN DE PRODUCTOS DE CRUSTÁCEOS (EXCEPTO CAMARÓN Y LANGOSTINOS) Y OTROS MOLUSCOS MEDIANTE EL SECADO SALAZÓN CONSERVACIÓN EN SALMUERA ENLATADOS AHUMADO ETCÉTERA;1;19872875.45
28/02/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;QUITO;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;45;170870
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;NOVADA;GUAYAS;GUAYAQUIL;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRODUCTOS DE PLÁSTICO;FABRICACIÓN DE OTROS ARTÍCULOS DE PLÁSTICO DIVERSOS: ACCESORIOS PARA MUEBLES ESTATUILLAS ARTESANÍAS CORREAS DE TRANSPORTE Y TRANSMISIÓN CINTAS AUTOADHESIVAS PAPEL DE EMPAPELAR HORMAS DE ZAPATO BOQUILLAS DE CIGARROS Y CIGARRILLOS PEINES RULEROS ARTÍCULOS DE FANTASÍA PROMOCIÓNALES Y DE REGALO DE PLÁSTICO CANASTAS DE PLÁSTICO ETCÉTERA;3;2413214.3
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;NOVADA;MANABI;PEDERNALES;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;PREPARACIÓN Y CONSERVACIÓN DE CAMARÓN Y LANGOSTINOS MEDIANTE EL CONGELADO ULTRACONGELADO SECADO AHUMADO SALADO SUMERGIDO EN SALMUERA Y ENLATADO ETCÉTERA;4;2000000
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;59;336219.81
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;ORIGINAL;PICHINCHA;QUITO;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS PRODUCCIÓN DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS;PRODUCCIÓN DE AGUAS MINERALES NATURALES Y OTRAS AGUAS EMBOTELLADAS;2;83946
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;QUITO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;13;19371.62
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;QUITO;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;54;528130.22
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;NOVADA;SANTA ELENA;SANTA ELENA;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE MUEBLES;FABRICACIÓN DE MUEBLES DE MADERA Y SUS PARTES: PARA EL HOGAR OFICINAS TALLERES HOTELES RESTAURANTES IGLESIAS ESCUELAS MUEBLES ESPECIALES PARA LOCALES COMERCIALES MUEBLES PARA MÁQUINAS DE COSER TELEVISIONES ETCÉTERA;1;163549.59
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REESTRUCTURADA;MANABI;PEDERNALES;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;PREPARACIÓN Y CONSERVACIÓN DE CAMARÓN Y LANGOSTINOS MEDIANTE EL CONGELADO ULTRACONGELADO SECADO AHUMADO SALADO SUMERGIDO EN SALMUERA Y ENLATADO ETCÉTERA;1;10487390.42
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;NOVADA;GUAYAS;GUAYAQUIL;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRODUCTOS DE PLÁSTICO;FABRICACIÓN DE ARTÍCULOS DE PLÁSTICO PARA OFICINA Y USO ESCOLAR;1;400000
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CRÍA DE GANADO BOVINO Y BÚFALOS;PRODUCCIÓN DE LECHE CRUDA DE VACA;9;47977.85
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;NOVADA;PICHINCHA;QUITO;CONSTRUCCIÓN;CONSTRUCCIÓN DE EDIFICIOS;CONSTRUCCIÓN DE TODO TIPO DE EDIFICIOS RESIDENCIALES: CASAS FAMILIARES INDIVIDUALES EDIFICIOS MULTIFAMILIARES INCLUSO EDIFICIOS DE ALTURAS ELEVADAS VIVIENDAS PARA ANCIANATOS CASAS PARA BENEFICENCIA ORFANATOS CÁRCELES CUARTELES CONVENTOS CASAS RELIGIOSAS INCLUYE REMODELACIÓN RENOVACIÓN O REHABILITACIÓN DE ESTRUCTURAS EXISTENTES;1;1008540.05
31/03/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;REESTRUCTURADA;COTOPAXI;LATACUNGA;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CRÍA DE AVES DE CORRAL;PRODUCCIÓN DE HUEVOS DE AVES DE CORRAL;1;1398631.36
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;QUITO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA;TODAS LAS ACTIVIDADES DE TRANSPORTE DE CARGA POR CARRETERA INCLUIDO EN CAMIONETAS DE: TRONCOS GANADO TRANSPORTE REFRIGERADO CARGA PESADA CARGA A GRANEL INCLUIDO EL TRANSPORTE EN CAMIONES CISTERNA AUTOMÓVILES DESPERDICIOS Y MATERIALES DE DESECHO SIN RECOGIDA NI ELIMINACIÓN;9;10548.83
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REESTRUCTURADA;GUAYAS;DURAN;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;194904.68
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REFINANCIADA;GUAYAS;GUAYAQUIL;ACTIVIDADES PROFESIONALES CIENTÍFICAS Y TÉCNICAS;PUBLICIDAD;REALIZACIÓN DE CAMPAÑAS DE COMERCIALIZACIÓN Y OTROS SERVICIOS DE PUBLICIDAD DIRIGIDOS A ATRAER Y RETENER CLIENTES: PROMOCIÓN DE PRODUCTOS COMERCIALIZACIÓN EN EL PUNTO DE VENTA PUBLICIDAD DIRECTA POR CORREO Y ASESORAMIENTO EN MARKETING CREACIÓN DE STANDS OTRAS ESTRUCTURAS Y LUGARES DE EXHIBICIÓN DISTRIBUCIÓN O ENTREGA DE MATERIALES O MUESTRAS DE PUBLICIDAD;1;524926.95
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;83;477995.02
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;ORIGINAL;GUAYAS;BALAO;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;1000000
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;LOJA;LOJA;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;31633.17
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;NOVADA;LOS RIOS;BABAHOYO;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;2;3891009.42
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;ORIGINAL;AZUAY;CUENCA;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO;SERVICIOS DE APOYO A LA FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO;1;30000
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;NOVADA;LOJA;LOJA;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;33028.75
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;388694.93
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;GUAYAS;GUAYAQUIL;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;15018.59
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;SANTA ELENA;SALINAS;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;103121.61
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;CREDITO;ORIGINAL;PICHINCHA;QUITO;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES;CULTIVO DE BANANOS Y PLÁTANOS;1;6300000
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;REESTRUCTURADA;MANABI;JARAMIJO;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS CRUSTÁCEOS Y MOLUSCOS;PREPARACIÓN Y CONSERVACIÓN DE PESCADO CRUSTÁCEOS (EXCEPTO CAMARÓN Y LANGOSTINOS) Y OTROS MOLUSCOS MEDIANTE EL CONGELADO ULTRACONGELADO SECADO AHUMADO SALADO SUMERGIDO EN SALMUERA Y ENLATADO ETCÉTERA;1;2411289.83
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;CAYAMBE;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CRÍA DE GANADO BOVINO Y BÚFALOS;PRODUCCIÓN DE LECHE CRUDA DE VACA;14;79744.47
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO CORPORATIVO;FACTORING;ORIGINAL;PICHINCHA;QUITO;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;CULTIVO DE CEREALES (EXCEPTO ARROZ) LEGUMBRES Y SEMILLAS OLEAGINOSAS;CULTIVO DE TRIGO;51;173154.43
30/04/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;NOVADA;LOJA;LOJA;TRANSPORTE Y ALMACENAMIENTO;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE;SERVICIOS DE TAXIS;1;9723.2
31/05/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;REESTRUCTURADA;COTOPAXI;LATACUNGA;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;SERVICIOS DE ALOJAMIENTO PRESTADOS POR HOTELES HOTELES DE SUITES APART HOTELES COMPLEJOS TURÍSTICOS HOSTERÍAS;1;273354.13
31/05/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;ORIGINAL;EL ORO;ARENILLAS;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;ACUICULTURA MARINA;EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS) CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN);1;73453.03
31/05/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO PYMES;CREDITO;NOVADA;EL ORO;ARENILLAS;AGRICULTURA GANADERÍA  SILVICULTURA Y PESCA;ACUICULTURA MARINA;EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS) CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN);1;105546.97
31/05/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;NOVADA;LOJA;LOJA;TRANSPORTE Y ALMACENAMIENTO;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE;SERVICIOS DE TAXIS;4;46147.6
31/05/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;MICROCREDITO DE ACUMULACION AMPLIADA;CREDITO;NOVADA;GUAYAS;GUAYAQUIL;TRANSPORTE Y ALMACENAMIENTO;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE;SERVICIOS DE AUTOBUSES ESCOLARES Y AUTOBUSES PARA EL TRANSPORTE DE EMPLEADOS;1;14550.53
31/05/2022;INSTITUCIONES FINANCIERAS PUBLICAS;CORPORACION FINANCIERA NACIONAL B.P.;PRODUCTIVO EMPRESARIAL;CREDITO;NOVADA;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE;TRANSPORTE TERRESTRE DE PASAJEROS POR SISTEMAS DE TRANSPORTE URBANO QUE PUEDEN ABARCAR LÍNEAS DE AUTOBÚS TRANVÍA TROLEBÚS METRO FERROCARRIL ELEVADO LÍNEAS DE TRANSPORTE ENTRE LA CIUDAD Y EL AEROPUERTO O LA ESTACIÓN ETCÉTERA EL TRANSPORTE SE REALIZA POR RUTAS ESTABLECIDAS SIGUIENDO NORMALMENTE UN HORARIO FIJO Y EL EMBARQUE Y DESEMBARQUE DE PASAJEROS EN PARADAS ESTABLECIDAS INCLUYE LA EXPLOTACIÓN DE FUNICULARES TELEFÉRICOS ETCÉTERA QUE FORMEN PARTE DEL SISTEMA DE TRANSPORTE URBANO;1;143721.49
