escuela;sexo;edad;direccion;tam_fami;fam_estado;edu_madre;edu_padre;Mjob;Fjob;razon;tutor;tiempo_viaje;tiempo_estudio;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;salud;ausencias;G1;G2;G3
GP;masculino;16;urbano;LE3;juntos;4;3;health;;home;father;menos de 15min;1;0;no;no;no;yes;yes;yes;yes;no;buena;muy poco;medio;1;3;muy buena;6;12;12;12
GP;masculino;15;urbano;GT3;juntos;4;3;teacher;other;reputation;;menos de 15min;2;0;no;no;no;no;yes;yes;yes;no;;alto;muy poco;1;1;muy mala;0;12;13;14
GP;masculino;15;urbano;GT3;juntos;4;4;health;health;;father;menos de 15min;1;0;no;yes;yes;no;yes;yes;yes;no;excelente;alto;poco;1;1;muy buena;0;11;12;12
GP;hombre;16;urbano;LE3;juntos;4;2;teacher;other;course;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;no;muy buena;muy alto;muy poco;1;3;muy buena;0;12;13;14
GP;hombre;16;urbano;LE3;juntos;2;2;other;other;reputation;mother;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;;alto;2;4;muy buena;2;10;10;10
GP;femenino;15;rural;GT3;juntos;2;4;services;health;course;mother;menos de 15min;3;0;yes;yes;no;yes;yes;yes;yes;no;muy buena;medio;poco;1;1;muy buena;2;10;11;10
GP;femenino;16;urbano;GT3;juntos;2;2;services;services;home;mother;menos de 15min;1;0;no;yes;no;no;no;yes;yes;no;muy mala;poco;;1;3;muy buena;6;10;11;12
GP;hombre;15;urbano;GT3;juntos;2;2;other;other;home;mother;menos de 15min;1;0;no;yes;no;no;yes;yes;yes;no;muy buena;poco;poco;1;2;muy buena;8;11;12;12
GP;hombre;15;urbano;GT3;juntos;4;2;health;services;other;mother;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;mala;poco;alto;2;4;;0;11;11;11
GP;hombre;16;urbano;LE3;separados;3;4;services;other;home;mother;menos de 15min;2;0;yes;yes;yes;yes;yes;yes;yes;no;excelente;medio;medio;1;1;muy buena;2;12;12;13
GP;hombre;16;urbano;GT3;juntos;4;4;teacher;teacher;home;mother;menos de 15min;2;0;no;yes;yes;yes;yes;yes;yes;yes;muy buena;alto;muy alto;5;5;muy buena;4;12;11;12
GP;hombre;15;urbano;GT3;juntos;4;4;health;services;home;mother;menos de 15min;2;0;no;yes;yes;no;no;yes;yes;no;excelente;alto;poco;3;4;muy buena;0;10;11;11
GP;hombre;15;urbano;GT3;juntos;4;4;services;services;reputation;mother;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;muy poco;1;1;muy buena;2;15;15;15
GP;hombre;15;rural;GT3;juntos;4;3;teacher;at_home;course;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;muy alto;poco;1;1;muy buena;0;13;14;15
GP;hombre;15;urbano;LE3;juntos;3;3;other;other;course;mother;menos de 15min;2;0;no;no;no;yes;no;yes;yes;no;excelente;medio;poco;1;1;mala;0;13;12;12
GP;hombre;16;urbano;GT3;juntos;3;2;other;other;home;mother;menos de 15min;1;0;no;yes;no;no;no;yes;yes;no;excelente;alto;medio;1;1;muy buena;4;12;12;12
GP;femenino;15;urbano;GT3;juntos;2;3;other;other;other;father;15 a 30 min;1;0;no;yes;no;yes;yes;yes;no;no;buena;muy alto;muy poco;1;1;muy buena;4;11;11;11
GP;hombre;15;urbano;LE3;juntos;4;3;teacher;services;home;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;excelente;alto;medio;1;1;buena;0;14;14;14
GP;hombre;16;rural;GT3;separados;4;4;other;teacher;reputation;mother;15 a 30 min;3;0;no;yes;no;yes;yes;yes;yes;yes;mala;alto;medio;1;1;muy buena;4;13;13;13
GP;femenino;15;rural;GT3;juntos;3;4;services;health;course;mother;menos de 15min;3;0;yes;yes;no;yes;yes;yes;yes;no;muy buena;medio;poco;1;1;muy buena;2;11;12;12
GP;femenino;15;rural;GT3;juntos;2;2;at_home;other;reputation;mother;menos de 15min;1;0;yes;yes;no;yes;yes;yes;no;no;muy buena;medio;muy poco;1;1;mala;8;14;13;12
GP;femenino;16;urbano;LE3;juntos;2;2;other;other;home;mother;15 a 30 min;2;0;no;yes;no;yes;no;yes;yes;yes;buena;medio;medio;1;2;regular;16;11;11;10
GP;hombre;15;urbano;LE3;juntos;4;4;teacher;other;home;other;menos de 15min;1;0;no;yes;no;no;no;yes;yes;yes;excelente;alto;medio;2;4;muy buena;8;10;11;11
GP;hombre;15;urbano;GT3;juntos;4;4;services;teacher;course;father;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;medio;1;1;muy buena;0;14;15;15
GP;hombre;15;urbano;GT3;juntos;2;2;services;services;course;father;menos de 15min;1;0;yes;yes;no;no;yes;yes;yes;no;excelente;alto;muy poco;1;1;muy mala;0;9;10;10
GP;femenino;16;urbano;LE3;juntos;2;2;other;at_home;course;father;15 a 30 min;2;1;yes;no;no;yes;yes;yes;yes;no;muy buena;medio;medio;2;2;muy buena;14;10;11;11
GP;femenino;15;urbano;LE3;separados;4;3;other;other;course;mother;menos de 15min;2;0;yes;yes;yes;yes;yes;yes;yes;yes;excelente;poco;poco;1;1;muy buena;4;10;11;11
GP;femenino;16;urbano;LE3;separados;3;3;other;services;home;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;mala;medio;muy alto;1;4;regular;6;13;12;13
GP;hombre;16;urbano;GT3;juntos;;3;health;services;reputation;mother;menos de 15min;4;0;no;no;no;yes;yes;yes;yes;no;muy buena;poco;poco;1;1;mala;2;17;17;17
GP;hombre;15;urbano;GT3;juntos;4;2;teacher;other;home;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;no;no;muy buena;medio;medio;2;2;muy buena;4;11;12;13
GP;mujer;15;urbano;GT3;juntos;4;4;services;teacher;other;father;menos de 15min;2;0;yes;yes;no;yes;no;yes;yes;no;muy buena;alto;alto;1;1;regular;2;13;12;12
GP;mujer;16;urbano;LE3;juntos;2;2;services;services;course;mother;30 min a 1 hora;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;medio;medio;2;3;buena;0;14;13;13
GP;mujer;15;urbano;LE3;juntos;4;2;health;other;other;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;medio;medio;1;1;muy buena;0;16;14;16
GP;hombre;15;urbano;LE3;separados;4;2;health;health;other;father;15 a 30 min;1;0;no;no;no;no;yes;yes;no;no;excelente;muy alto;muy alto;3;4;muy buena;4;10;9;9
GP;mujer;15;urbano;GT3;juntos;4;4;services;services;course;mother;menos de 15min;1;0;yes;yes;no;no;yes;yes;yes;no;buena;medio;alto;2;3;muy buena;0;13;12;12
GP;mujer;15;urbano;LE3;separados;3;3;other;other;other;mother;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;excelente;medio;alto;4;4;muy mala;0;13;12;13
GP;mujer;16;urbano;GT3;separados;2;1;other;other;other;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;excelente;medio;alto;1;1;;2;12;13;12
GP;mujer;15;urbano;GT3;separados;4;3;services;services;reputation;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;poco;1;1;muy mala;0;15;14;15
GP;hombre;15;urbano;GT3;juntos;4;4;teacher;health;reputation;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;no;no;buena;poco;poco;1;1;muy buena;8;15;15;16
GP;hombre;15;urbano;LE3;juntos;1;2;other;at_home;home;father;menos de 15min;2;0;yes;yes;no;yes;yes;yes;yes;no;muy buena;medio;poco;1;1;muy buena;0;14;13;14
GP;mujer;16;urbano;GT3;juntos;4;2;services;other;course;mother;menos de 15min;2;0;no;yes;yes;no;yes;yes;yes;no;muy buena;poco;;1;1;muy buena;2;16;15;16
GP;mujer;16;;GT3;juntos;4;4;health;teacher;other;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;no;no;mala;alto;alto;2;3;buena;0;17;16;16
GP;mujer;16;urbano;GT3;juntos;1;1;services;services;course;father;mas de 1 hora;1;0;yes;yes;no;yes;no;yes;yes;yes;;muy alto;muy alto;5;5;muy buena;0;10;10;16
GP;mujer;16;urbano;LE3;juntos;1;2;other;services;reputation;father;menos de 15min;2;0;yes;no;no;yes;yes;yes;yes;no;muy buena;alto;medio;1;1;muy mala;0;13;13;10
GP;mujer;16;urbano;GT3;juntos;4;3;teacher;health;home;mother;menos de 15min;3;0;yes;yes;no;yes;yes;yes;yes;no;buena;alto;alto;2;4;buena;0;14;13;13
GP;mujer;15;urbano;LE3;juntos;4;3;services;services;reputation;father;menos de 15min;2;0;yes;no;no;yes;yes;yes;yes;yes;muy buena;alto;alto;2;4;mala;0;13;12;12
GP;mujer;16;urbano;LE3;juntos;4;3;teacher;services;course;mother;30 min a 1 hora;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;;medio;1;2;muy mala;2;16;15;16
GP;hombre;15;urbano;GT3;separados;4;4;other;services;reputation;mother;menos de 15min;4;0;no;yes;no;yes;no;yes;yes;yes;muy mala;medio;medio;5;5;regular;0;11;12;12
GP;mujer;16;urbano;GT3;juntos;3;1;services;other;course;mother;menos de 15min;4;0;yes;yes;no;no;yes;yes;yes;no;muy buena;medio;medio;1;2;muy buena;0;10;9;10
GP;mujer;15;rural;LE3;juntos;2;2;health;services;reputation;mother;15 a 30 min;2;0;yes;yes;no;no;yes;yes;yes;no;muy buena;muy poco;medio;1;3;buena;0;11;10;11
GP;mujer;15;rural;LE3;juntos;3;1;other;other;reputation;father;15 a 30 min;4;0;no;yes;no;no;no;yes;yes;no;muy buena;alto;poco;2;3;regular;6;15;15;15
GP;hombre;16;urbano;GT3;juntos;3;1;other;other;reputation;father;15 a 30 min;4;0;no;yes;no;no;yes;yes;yes;no;muy buena;medio;poco;1;1;muy buena;2;13;11;11
GP;hombre;15;urbano;GT3;juntos;;2;other;other;course;mother;menos de 15min;4;0;no;no;no;no;yes;yes;yes;no;buena;medio;medio;1;1;regular;0;11;9;10
GP;mujer;15;rural;GT3;juntos;1;1;other;other;reputation;mother;menos de 15min;2;0;yes;yes;no;no;no;yes;yes;yes;buena;medio;alto;2;4;muy buena;2;13;11;11
GP;hombre;16;urbano;GT3;juntos;3;1;other;other;reputation;mother;menos de 15min;1;0;no;no;no;yes;yes;yes;no;no;excelente;medio;poco;2;2;muy buena;0;13;13;14
GP;mujer;16;urbano;GT3;juntos;3;3;other;services;home;;menos de 15min;2;0;yes;yes;no;yes;yes;yes;yes;no;muy buena;medio;medio;2;4;muy buena;4;11;11;11
GP;hombre;15;urbano;GT3;juntos;4;3;teacher;other;home;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;medio;2;3;muy buena;0;11;11;11
GP;hombre;15;urbano;GT3;juntos;4;0;teacher;other;course;mother;15 a 30 min;4;0;no;no;no;yes;yes;yes;yes;no;buena;alto;medio;1;1;muy mala;0;12;11;11
GP;mujer;16;urbano;GT3;juntos;2;2;other;other;reputation;mother;menos de 15min;4;0;no;no;no;no;yes;yes;yes;yes;excelente;poco;medio;1;3;regular;1;13;13;13
GP;hombre;17;urbano;GT3;juntos;2;1;other;other;home;mother;15 a 30 min;1;3;yes;yes;no;yes;yes;no;yes;no;muy buena;muy alto;muy poco;1;1;regular;0;9;9;10
GP;mujer;16;urbano;GT3;juntos;3;4;at_home;other;course;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;mala;alto;medio;1;2;regular;14;12;11;11
GP;hombre;15;urbano;GT3;juntos;2;3;other;services;course;father;menos de 15min;1;0;yes;yes;no;yes;no;yes;yes;yes;buena;poco;poco;1;3;regular;0;11;11;12
GP;hombre;15;urbano;GT3;juntos;2;3;other;other;home;mother;menos de 15min;3;0;yes;no;no;no;no;yes;yes;no;excelente;medio;poco;1;2;muy buena;2;10;9;9
GP;mujer;15;urbano;LE3;juntos;3;2;services;other;reputation;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;yes;no;muy buena;alto;alto;1;1;muy buena;4;12;11;11
GP;hombre;15;urbano;LE3;juntos;2;2;services;services;;mother;15 a 30 min;2;0;no;no;yes;yes;yes;yes;yes;no;excelente;medio;medio;1;3;buena;2;13;12;13
GP;mujer;15;urbano;GT3;juntos;1;1;;other;home;father;menos de 15min;2;0;no;yes;no;yes;no;yes;yes;no;muy buena;medio;poco;2;3;buena;2;13;12;12
GP;mujer;15;;GT3;juntos;4;4;services;services;reputation;father;15 a 30 min;2;0;no;no;no;no;yes;yes;yes;yes;muy buena;alto;alto;2;3;muy buena;4;12;11;12
GP;mujer;16;urbano;LE3;juntos;2;2;at_home;other;course;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;no;no;muy buena;medio;alto;1;2;mala;6;13;11;11
GP;mujer;15;urbano;GT3;juntos;4;2;other;other;reputation;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;excelente;medio;medio;1;3;muy mala;4;15;15;15
GP;hombre;16;urbano;GT3;juntos;2;2;services;other;reputation;father;15 a 30 min;2;0;no;no;no;yes;no;yes;yes;no;muy buena;alto;poco;1;1;regular;6;12;10;11
GP;hombre;16;urbano;LE3;separados;4;4;teacher;health;reputation;mother;;2;0;no;yes;no;no;yes;yes;no;no;muy buena;muy poco;medio;3;5;muy buena;6;9;9;10
GP;mujer;16;urbano;GT3;juntos;3;3;other;other;home;mother;menos de 15min;3;0;no;yes;no;no;yes;yes;yes;yes;muy buena;medio;medio;1;3;buena;2;9;11;11
GP;mujer;15;urbano;GT3;juntos;4;3;services;other;reputation;mother;menos de 15min;1;0;no;no;no;yes;yes;yes;yes;no;muy buena;muy alto;muy alto;1;3;muy mala;6;14;13;13
GP;mujer;16;urbano;LE3;juntos;3;1;other;other;home;father;menos de 15min;2;0;yes;yes;no;no;yes;yes;no;no;buena;medio;medio;2;3;mala;0;12;13;12
GP;mujer;16;urbano;GT3;juntos;4;2;teacher;services;home;mother;15 a 30 min;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;medio;medio;1;1;muy mala;2;13;14;14
GP;hombre;15;urbano;LE3;juntos;2;2;services;health;reputation;mother;menos de 15min;4;0;no;yes;no;yes;yes;yes;yes;no;muy buena;medio;alto;1;1;buena;2;11;12;12
GP;mujer;15;rural;GT3;juntos;;1;at_home;other;home;mother;15 a 30 min;4;0;yes;yes;yes;yes;yes;yes;yes;no;buena;muy poco;poco;1;1;muy mala;4;13;13;13
GP;hombre;16;rural;GT3;juntos;4;3;services;other;reputation;mother;15 a 30 min;1;0;yes;yes;yes;yes;no;yes;yes;no;buena;medio;medio;1;1;buena;6;9;11;11
GP;mujer;16;urbano;GT3;;2;1;other;other;course;mother;menos de 15min;2;0;no;yes;no;no;yes;yes;no;yes;muy buena;medio;muy alto;1;1;muy buena;0;13;12;12
GP;mujer;16;urbano;GT3;juntos;4;4;other;other;reputation;mother;menos de 15min;1;0;no;no;no;yes;no;yes;yes;no;excelente;medio;alto;1;2;muy mala;4;12;13;13
GP;mujer;16;urbano;GT3;juntos;4;3;other;at_home;course;mother;menos de 15min;3;0;yes;yes;no;no;yes;yes;yes;no;excelente;medio;muy alto;1;1;regular;2;12;13;13
GP;hombre;16;urbano;GT3;juntos;4;4;services;services;other;mother;menos de 15min;1;0;yes;yes;no;yes;yes;yes;yes;no;muy buena;muy alto;muy alto;5;5;buena;12;9;9;8
GP;hombre;16;urbano;GT3;juntos;4;4;services;teacher;other;father;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;alto;medio;1;1;buena;0;16;16;16
GP;hombre;15;urbano;GT3;juntos;4;4;services;other;course;mother;menos de 15min;1;0;no;yes;yes;yes;no;yes;yes;no;excelente;medio;medio;1;1;muy buena;2;12;13;12
GP;mujer;15;urbano;GT3;juntos;3;2;services;other;home;mother;15 a 30 min;2;0;yes;yes;no;no;yes;yes;yes;no;muy buena;medio;muy alto;1;1;mala;16;11;10;10
GP;hombre;15;urbano;GT3;separados;3;4;services;other;course;mother;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;alto;alto;1;1;muy mala;0;16;16;16
GP;mujer;15;urbano;GT3;separados;3;3;other;health;reputation;father;menos de 15min;4;0;yes;no;no;no;yes;yes;no;no;muy buena;medio;medio;1;1;buena;10;10;10;10
GP;mujer;15;;GT3;juntos;2;2;other;other;course;mother;menos de 15min;4;0;yes;yes;no;no;yes;yes;yes;no;excelente;muy poco;poco;1;1;regular;4;10;10;10
GP;hombre;16;urbano;GT3;juntos;3;3;services;other;home;father;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;no;;medio;medio;1;1;muy buena;4;13;14;14
GP;hombre;15;rural;GT3;juntos;4;4;;other;home;father;mas de 1 hora;4;0;no;yes;no;yes;yes;yes;yes;yes;muy mala;medio;muy alto;3;5;muy mala;8;12;10;11
GP;mujer;16;urbano;LE3;juntos;4;4;health;health;other;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;yes;excelente;alto;muy alto;1;1;buena;2;15;15;14
GP;hombre;15;urbano;LE3;separados;4;4;teacher;teacher;course;mother;menos de 15min;1;0;no;no;no;yes;yes;yes;yes;no;excelente;muy alto;medio;1;1;buena;4;13;14;14
GP;mujer;16;rural;GT3;juntos;3;3;services;other;reputation;father;menos de 15min;3;0;yes;yes;no;yes;yes;yes;yes;no;muy buena;muy poco;poco;1;1;mala;4;11;11;11
GP;mujer;16;urbano;GT3;juntos;2;2;at_home;other;home;mother;menos de 15min;2;1;yes;no;no;yes;yes;yes;yes;no;buena;muy poco;poco;1;1;muy buena;12;8;10;10
GP;hombre;15;urbano;LE3;juntos;4;2;teacher;other;course;mother;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;buena;;poco;1;1;regular;10;18;17;18
GP;hombre;15;rural;GT3;juntos;2;1;health;services;reputation;mother;menos de 15min;2;0;no;no;no;yes;yes;yes;yes;yes;excelente;alto;;1;1;muy buena;4;10;9;10
GP;hombre;16;urbano;GT3;juntos;4;4;teacher;teacher;course;father;menos de 15min;2;0;no;yes;no;yes;yes;yes;yes;no;excelente;alto;alto;1;2;muy buena;6;16;14;14
GP;hombre;15;urbano;GT3;juntos;4;4;other;teacher;reputation;father;15 a 30 min;2;0;no;yes;no;yes;yes;yes;no;no;muy buena;alto;medio;1;1;mala;4;16;15;16
GP;hombre;16;urbano;GT3;juntos;3;3;other;services;home;;15 a 30 min;1;0;no;no;no;yes;yes;yes;yes;no;excelente;alto;poco;1;1;;6;14;14;15
GP;hombre;17;rural;GT3;juntos;;3;other;other;course;father;30 min a 1 hora;2;1;no;yes;no;yes;yes;yes;yes;no;excelente;poco;alto;1;4;muy buena;14;12;11;11
GP;hombre;15;urbano;GT3;juntos;3;4;other;other;reputation;father;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;buena;alto;medio;1;2;buena;2;14;13;14
GP;mujer;15;urbano;GT3;juntos;1;2;at_home;services;course;mother;menos de 15min;2;0;no;no;no;no;no;yes;yes;no;buena;poco;medio;1;2;muy mala;0;14;14;14
GP;hombre;15;urbano;GT3;juntos;2;2;services;services;home;father;menos de 15min;4;0;no;yes;no;yes;yes;yes;yes;no;excelente;muy alto;alto;1;2;muy buena;6;14;13;13
GP;mujer;16;urbano;LE3;juntos;2;4;other;health;course;father;;2;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;poco;poco;1;2;muy buena;2;14;12;13
GP;hombre;16;urbano;GT3;;4;4;health;other;course;mother;menos de 15min;1;0;no;yes;no;yes;yes;yes;yes;no;buena;alto;alto;1;4;muy buena;4;12;13;13
GP;mujer;16;urbano;GT3;juntos;2;2;other;;home;mother;menos de 15min;2;0;no;no;no;no;yes;yes;yes;yes;excelente;alto;alto;1;1;muy buena;0;12;11;11
GP;hombre;15;urbano;GT3;juntos;3;4;services;services;home;father;menos de 15min;1;0;yes;no;no;no;yes;yes;yes;no;excelente;muy alto;muy alto;3;2;muy buena;2;9;9;9
GP;mujer;15;urbano;LE3;separados;3;4;other;other;home;mother;menos de 15min;2;0;yes;no;no;yes;yes;yes;yes;yes;excelente;medio;poco;1;1;muy mala;0;10;11;11
GP;mujer;19;;GT3;juntos;0;1;at_home;other;course;other;menos de 15min;2;2;no;yes;no;no;no;no;no;no;buena;alto;poco;1;1;muy buena;0;9;10;11
GP;hombre;16;rural;GT3;juntos;4;4;teacher;teacher;;mother;menos de 15min;1;0;no;no;no;yes;yes;yes;yes;no;buena;muy alto;muy alto;2;5;buena;8;14;14;15
GP;hombre;16;urbano;GT3;juntos;2;3;other;other;course;mother;15 a 30 min;3;0;no;yes;no;no;no;yes;yes;yes;buena;poco;medio;2;2;muy mala;4;13;12;13
GP;mujer;15;rural;GT3;juntos;3;4;services;teacher;course;father;15 a 30 min;3;0;no;yes;no;no;yes;yes;yes;yes;muy buena;poco;poco;2;2;muy buena;0;10;11;12
GP;mujer;18;urbano;GT3;juntos;2;1;services;other;reputation;mother;menos de 15min;2;3;no;yes;no;yes;yes;no;yes;yes;excelente;alto;muy alto;1;3;muy buena;10;10;9;8
GP;mujer;17;urbano;LE3;separados;2;1;other;other;course;mother;30 min a 1 hora;1;0;no;yes;no;no;yes;yes;yes;no;buena;poco;poco;1;2;muy buena;8;11;10;11
GP;mujer;15;urbano;GT3;juntos;1;1;at_home;other;course;mother;30 min a 1 hora;1;0;no;yes;no;yes;no;yes;yes;yes;muy buena;medio;medio;1;2;buena;6;11;12;13
GP;mujer;17;urbano;LE3;juntos;2;2;other;other;course;father;menos de 15min;1;0;no;yes;no;no;yes;yes;yes;yes;buena;alto;alto;1;3;muy buena;2;13;12;12
GP;mujer;16;urbano;GT3;separados;3;4;services;other;course;father;menos de 15min;1;0;no;no;no;no;yes;yes;yes;no;buena;poco;muy poco;1;4;muy buena;12;15;13;14
GP;hombre;16;urbano;GT3;juntos;2;1;at_home;other;course;mother;mas de 1 hora;1;0;no;no;no;no;yes;yes;no;no;buena;poco;muy poco;1;1;mala;4;9;9;11
GP;mujer;16;urbano;GT3;separados;2;2;other;other;home;mother;menos de 15min;1;1;no;no;no;no;yes;yes;no;no;excelente;medio;alto;1;1;muy buena;12;13;11;11
GP;hombre;15;rural;GT3;juntos;3;4;at_home;teacher;course;mother;mas de 1 hora;2;0;no;yes;no;no;yes;yes;no;yes;excelente;medio;medio;1;1;muy buena;2;12;11;11
GP;mujer;15;urbano;GT3;juntos;4;4;services;at_home;course;mother;menos de 15min;3;0;no;yes;no;yes;yes;yes;yes;yes;muy buena;medio;medio;1;1;muy buena;4;13;14;15
GP;hombre;17;rural;GT3;juntos;3;4;at_home;other;course;mother;30 min a 1 hora;2;0;no;no;no;no;yes;yes;no;no;excelente;alto;muy alto;2;4;muy buena;2;10;9;10
GP;mujer;16;rural;GT3;juntos;1;1;at_home;other;course;mother;mas de 1 hora;2;0;no;yes;no;no;yes;yes;no;no;excelente;muy poco;medio;1;1;regular;0;14;13;13
GP;hombre;18;urbano;LE3;juntos;;1;services;services;course;mother;15 a 30 min;1;0;no;no;no;yes;yes;yes;yes;yes;buena;medio;alto;4;5;buena;2;11;11;12
GP;mujer;18;urbano;GT3;separados;3;2;other;services;course;other;menos de 15min;3;0;no;yes;no;yes;no;yes;yes;yes;muy buena;medio;medio;5;1;muy buena;10;12;11;11
GP;mujer;16;rural;GT3;juntos;1;1;other;services;reputation;mother;15 a 30 min;1;0;no;yes;no;yes;yes;yes;no;yes;buena;medio;medio;1;2;muy mala;8;12;11;11
GP;mujer;16;urbano;GT3;separados;3;3;other;other;course;other;15 a 30 min;1;0;no;yes;no;yes;no;yes;yes;yes;muy buena;medio;poco;1;1;muy buena;4;9;9;10
GP;hombre;16;urbano;LE3;juntos;1;1;services;other;course;mother;menos de 15min;2;2;no;no;no;no;yes;yes;no;yes;muy buena;alto;alto;1;3;muy buena;0;10;10;10
